Criatura Aracnídea,"Uma criatura aracnídea possui uma cabeça, um tronco, dois braços e oito pernas.",,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nuvem Pequena,"Um conjunto de criaturas que ocupa um único quadrado de 1 m x 1 m, podem atravessar por aberturas de pelo menos 10 cm de diâmetro, ocupar quadrados já ocupados por outras criaturas, e são imunes seguintes às seguintes condições: agarrado, apavorado, atordoado, debilitado, desorientado, sangramento, hemorragia e hemorragia letal, imobilizado, inconsciente, restringido e sentença de morte.

A nuvem também é imune contra qualquer tipo de ataque físico que não seja em área e que possua apenas 1 alvo, possui robustez contra ataques com 2 alvos, e sofre dano normal contra armas com 3 alvos ou mais. Ela possui fraqueza contra ataques em área.",,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nuvem Média,"Um conjunto de criaturas que ocupa uma área de 2 m x 2 m, podem atravessar por aberturas de pelo menos 10 cm de diâmetro, ocupar quadrados já ocupados por outras criaturas, e são imunes seguintes às seguintes condições: agarrado, apavorado, atordoado, debilitado, desorientado, sangramento, hemorragia e hemorragia letal, imobilizado, inconsciente, restringido e sentença de morte.

A nuvem é imune contra qualquer tipo de ataque físico que não seja em área e que possua apenas 1 alvo, possui robustez contra ataques com 2 alvos, e sofre dano normal contra armas com 3 alvos ou mais. Ela possui fraqueza contra ataques em área.

Caso seu valor de Corpo (ou equivalente) seja reduzido para metade ou menos, elas se tornam uma Nuvem Pequena e ocupam apenas um quadrado de 1 m x 1 m.",,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morto-Vivo,"Esta criatura não é afetada pelas seguintes condições: envenenado, hemorragia, hemorragia letal, sangrando, sentença de morte, À Beira do Abismo e Em Queda, não possui nenhuma necessidade e é imune a dano tóxico. Sua resistência a dano ardente não pode ser elevada além de 0, e sua resistência a dano perfurante e balístico não pode ser reduzida por Penetração.

Um morto-vivo não pode ter sua cabeça ou tronco destruídos a menos que o ataque também reduza seu Corpo e Fôlego (ou equivalente) à 0, ou os mesmos já sejam 0. ",,Uma cabeça ou tronco destruído concede uma penalidade cumulativa em todos os testes do morto-vivo igual ao seu Nível de Poder.,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Criatura da Praga,"A menos que o corpo seja completamente queimado após a sua derrota, a criatura irá ressuscitar após 24 horas com todos os seus membros intactos e valor atual de Praga no máximo. Dano tóxico causado pela criatura aplica a condição infectado, e ela sempre sabe a direção das vidas mais próximas. Todo dano que seria aplicado em Corpo ou Mente da criatura é aplicado em Praga, e ela é imune à condição apavorado.",,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cultista,"Criaturas da Praga consideram essa persona um aliado e não atacarão a menos que provocadas, e ela sempre reconhece outros cultistas que estejam a pelo menos 5 metros. Consequentemente, ela é considerada uma criatura da Praga para singularidades de Trilha.",,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anti-Caçador,"Criaturas da Praga consideram essa persona um aliado e não atacarão a menos que provocadas, e ela sempre reconhece outros cultistas que estejam a pelo menos 5 metros. Consequentemente, ela é considerada uma criatura da Praga para singularidades da Caçada. Com uma ação menor, esta persona consegue reconhecer se há Caçadores não obstruídos ao redor dela em um raio de 5 metros e identificá-los, mas não identificar suas Trilhas.",,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caçador,"Os ataques realizados por esta criatura ignoram as vantagens concedidas por ""Resistência Monstruosa"", exceto para ataques com armas de artilharia, armas de cerco, explosivos e granadas.",,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Entiensis,"Esta criatura ainda deve realizar um teste de evasão contra ataques de dano mental, mas nenhum dano é aplicado em caso de acerto, ao invés disso a criatura recebe a condição apavorada por 1 minuto ou até ser acalmada com uma ação curta e um teste de Vontade + Lidar com Animais (Adestramento) com uma dificuldade igual a 4 ou ao Nível de Alma da criatura, o que for maior.",,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Resistência Monstruosa,"Esta criatura possui robustez a todo tipo de dano, com exceção daqueles causados por armas e munição de prata ou dano ardente.",,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vislumbre da Chama,"Esta criatura possui fraqueza a dano ardente, e entra em um frenesi desesperado caso a criatura seja atacada com dano ardente, ou testemunhe um ataque com dano ardente em alguma outra criatura. O efeito do frenesi dura 10 minutos.

Durante o efeito seus testes de ataque se tornam favoráveis e seus testes de evasão se tornam desfavoráveis.

Alguns ataques que não envolvem dano ardente mas produzem chamas, como armas de fogo, também podem engatilhar esse efeito.",,,-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arauto da Praga: Predador,"Esta criatura é um arauto do orgulho. Enquanto não estiver acompanhada de outra criatura da Praga ou cultista em um raio de 15 metros, ela recebe um bônus de igual ao seu Nível de Trilha em seus cálculos de dano e pode realizar até dois ataques extras por turno com uma ação menor para cada ataque.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arauto da Praga: Enxame,"Esta criatura é um arauto da crueldade. Caso um enxame ocupe o mesmo espaço de uma criatura, ou vice-versa, ela é infectada pela Praga.",,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arauto da Praga: Ninhada,Esta criatura é um arauto da luxúria.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arauto da Praga: Matilha,"Esta criatura é um arauto da obsessão. Para cada membro de sua matilha dentro de um raio de 50 metros, ela recebe um bônus de +2 em seus testes de ataque. Caso essa criatura testemunhe a morte de um membro da matilha, ela recebe um bônus de +2 em testes de evasão por 24 horas.

Toda matilha possui um alfa, e o alfa da matilha é um chefe ao invés de um capacho, ou um chefe ao invés de um vassalo. Se a matilha já é composta por chefes, todos os testes do alfa são favoráveis. Quando o alfa morre, um novo alfa deve ser designado, de acordo com a vontade da Praga e todos os membros da matilha imediatamente agem.",,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arauto da Praga: Pastor,"Esta criatura é um arauto da ganância. Com uma ação curta, o pastor pode imediatamente conceder uma ação curta para dois Assombros ou para um outro Arauto da Praga. Para cada criatura da Praga envolvida no combate, o Pastor concede um bônus de +1 para Assombros e Arautos, até o limite máximo que é igual ao seu Nível de Poder.",,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arauto da Praga: Parasita,Esta criatura é um arauto da sabotagem.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arauto da Praga: Bruto,"Esta criatura é um arauto da fúria. Danos contra a criatura que sejam reduzidos por Resistência Monstruosa são ignorados por completo, e apenas ataques com armas e munição de prata ou dano ardente ignoram a robustez concedida pela singularidade. Além disso, após a criatura receber dano, a mesma pode imediatamente realizar um ataque de até uma ação curta contra qualquer alvo em seu alcance.",,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peçonha,"Ao causar dano físico em uma criatura agarrada, esta criatura causa ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tecelã de Teias,"Enquanto agarrando uma outra criatura, esta criatura pode utilizar uma ação longa para enrolá-la em teia. Uma criatura enrolada na teia deve usar uma ação curta e ser bem-sucedida em um teste de Força + Atletismo (Vigor) com uma dificuldade igual a ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chamariz e Emboscada,"Ao ficar imóvel por 1 minuto, esta criatura se torna invisível e imperceptível, com a possibilidade de manter um chamariz visível para atrair criaturas desavisadas. Uma outra criatura ativamente procurando por ameaças pode realizar um teste de Percepção + Atenção (Arredores) com uma dificuldade igual a ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Golpe de Agarrão,"Ao causar dano físico em uma criatura com um golpe corpo-a-corpo, esta criatura pode tentar agarrá-la com uma ação menor.",,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tática de Emboscada,"Ao atacar uma criatura que já tenha sido atacada na última rodada ou que esteja despreparada, esta criatura recebe um bônus de +",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Armadura Blindada,A armadura desta criatura é especialmente resistente contra ataques sem a afiação ou poderio necessário. Caso o ataque não possua um valor de Penetração igual ou maior que ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Montaria e Tração,"Este entiensis pode ser usado como uma montaria caso você possua o equipamento especializado ou como animal de tração, tendo seu poder de carregamento de carga é igual ao triplo de sua Força + Vitalidade. Caso a soma total do modificador de tamanho ou modificador de peso das criaturas montadas sobre esta criatura sejam iguais ou maiores que a metade (arredondada para baixo) de modificador de tamanho e peso da própria criatura, todos os seus deslocamentos são reduzidos pela metade (arredondada para baixo). Caso a soma desses modificadores seja maior que os modificadores da própria criatura, ela não consegue se locomover sob o peso.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atirador,Esta persona recebe um bônus igual ao seu Nível de Poder em testes de Pontaria (Precisão).,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contusão,Esta persona recebe um bônus igual ao seu Nível de Poder em testes de Corpo-a-corpo (Contusão).,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Espadas,Esta persona recebe um bônus igual ao seu Nível de Poder em testes de Corpo-a-corpo (Lâminas).,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Frustração do Assombro,"Quando um Assombro erra um ataque contra uma criatura, o próximo teste de ataque de um Assombro contra o mesmo alvo recebe um bônus de +2. Este valor é acumulativo, e volta a ser 0 quando um Assombro acerta um ataque ou o combate se encerra.",,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"//fazer especialidades só pra ataques, pra eu poder fazer bonus como acima",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Perícia em Cobertura,"Esta persona realiza testes de esquiva favoráveis enquanto em cobertura, e pode pegar coberturas com uma ação menor.",,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Escudão,Esta persona pode posicionar uma cobertura de +2 de esquiva e +4 de resistência à dano contra uma direção por uma rodada. A cobertura pode abrigar um aliado.,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gerador de Zona Imaculada,"Esta persona exala uma Zona Imaculada com um raio de 3 metros. Qualquer teste feito dentro dessa área, ou que alveje alguém dentro dessa área, perde qualquer modificador (positivo ou negativo) ou efeito que se origine através de magia (Arcana, Lethalis, Natura e Vox).",,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uivo Aterrador,"Qualquer criatura dentro do alcance do Uivo Aterrador pode ser afetada pelo ataque, e não só os alvos adjacentes um do outro.",,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ídolo da Praga,"Um Ídolo da Praga não pode ser derrotado e levado para 0 pontos de Praga enquanto um outro Arauto da Praga ou Assombro ainda estiver vivo naquele combate. Se dois ou mais Ídolos estiverem presentes, o efeito se anula até que apenas um sobre em pé.

Ídolos da Praga não respeitam cultistas, são extremamente cruéis e agressivos.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atirador II,Esta persona recebe um valor de Penetração em seus ataques com armas de Pontaria igual ao seu Nível de Poder.,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Espadachim I,Esta persona recebe um bônus igual ao seu Nível de Poder em testes de ataque com lâminas.,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Espadachim II,Esta persona recebe um valor de Penetração em seus ataques com lâminas  igual ao seu Nível de Poder.,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cásulo Nefasto,"Sacrificando pontos de Mente e com uma ação curta, você cria um casulo mágico sobre uma criatura que você pode ver dentro de 15 metros (a qual pode ser você), que absorve uma quantidade de dano físico ou mental igual a soma do seu modificador de Arcana + Nível de Trilha + o triplo dos pontos de Mente sacrificados.
O casulo serve como um limite adicional, e é quebrado quando seu valor chega em 0. Ele não se regenera, e dura até ser quebrado ou até seu próximo descanso. Caso a criatura seja afetada pelo mesmo efeito antes de seu fim, ele é substituído.",,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Desfazer,"Quando uma criatura que você pode ver dentro de 15 metros (a qual pode ser você) recebe dano de um ataque, sacrificando pontos de Mente e com uma reação, você reverte os efeitos do ataque em questão. Qualquer dano ou efeito aplicado pelo  ataque é anulado.
A quantidade de Mente sacrificada na ação é igual a 1/3 do dano causado pelo ataque.",,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lágrimas de Cura,"Ao tocar em uma criatura que pode ser você, sacrificando pontos de Mente e com uma ação curta, você recupera 6 pontos de Corpo dessa criatura ao sacrificar 1 ponto de Mente, e mais 3 pontos de Corpo para cada ponto de Mente adicional sacrificado.",,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guardião I,O Guardião e todos os seus aliados dentro de 5 metros recebem um bônus de +2 em esquiva e +1 em cálculos de resistência.,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guardião I Aprimorado,O Guardião e todos os seus aliados dentro de 5 metros recebem um bônus de +4 em esquiva e +4 em cálculos de resistência.,,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
